name,img,price_L,price_H
Ì½ÔÀ,http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg,18.59,31.39
Í¾ÔÀ,http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png,16.58,22.38
Í¾¹ÛL,http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png,21.88,31.18
Í¾°º,http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png,29.99,50.59
Í¾îø,http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png,11.49,15.99
Ì½¸è,http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png,13.58,20.38
Ì½Ó°,http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg,11.49,15.99
Í¾¹Û,http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg,19.48,23.18
Ì½ÔÀX,http://img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg,23.58,29.58
Í¾°ºX,http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg,28.99,43.99
Í¾Èñ,http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png,56.98,82.18
Í¾¹ÛL ²åµç»ì¶¯,http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png,26.58,32.58
Ì½ÔÀGTE ²åµç»ì¶¯,http://img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg,24.98,25.98
Tiguan,http://img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png,23.98,35.08
Í¾Èñ ²åµç»ì¶¯,http://img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg,ÔÝÎÞ,
